step,distance,time,height,pace,step_length,range
28.0,886.218645713597,28.80697607994091,165,0.9719867827257708,31.65066591834275,2
27.0,1110.589269708532,28.816053152084578,165,0.936977727570814,41.13293591513081,2
26.0,990.351993871147,28.815908908844108,165,0.9022793652717351,38.09046130273642,2
23.0,1247.9202833961417,26.906999999999996,187,0.8547961497008214,54.2574036259192,4
23.0,1600.1880096553473,26.903999999999996,187,0.8548914659530182,69.57339172414554,4
23.0,1183.1838669239714,26.89999999999999,187,0.8550185873605951,51.44277682278137,4
22.0,1106.4519175574953,26.89699999999999,187,0.8179350856972899,50.29326897988615,4
22.0,1326.7550945309608,26.897999999999996,187,0.8179046769276528,60.30704975140731,4
22.0,1469.5414474591612,26.881,187,0.8184219337078233,66.79733852087097,4
22.0,1491.582341311164,26.895999999999987,187,0.8179654967281385,67.79919733232565,4
